"REF_DATE","GEO","DGUID","Sex","Age group","Persons with income","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019","Ontario","2016A000235","Both sexes","All age groups","All persons with income","Number","223","units","0","v20796013","16.1.1.1","10954030","","","","0"
"2020","Ontario","2016A000235","Both sexes","All age groups","All persons with income","Number","223","units","0","v20796013","16.1.1.1","11069300","","","","0"
"2021","Ontario","2016A000235","Both sexes","All age groups","All persons with income","Number","223","units","0","v20796013","16.1.1.1","11101670","","","","0"
"2001","Ontario","2016A000235","Both sexes","All age groups","Persons with income under $5,000","Number","223","units","0","v20796014","16.1.1.2","928410","","","","0"
"2002","Ontario","2016A000235","Both sexes","All age groups","Persons with income under $5,000","Number","223","units","0","v20796014","16.1.1.2","931790","","","","0"
"2003","Ontario","2016A000235","Both sexes","All age groups","Persons with income under $5,000","Number","223","units","0","v20796014","16.1.1.2","943730","","","","0"
"2004","Ontario","2016A000235","Both sexes","All age groups","Persons with income under $5,000","Number","223","units","0","v20796014","16.1.1.2","913390","","","","0"
"2005","Ontario","2016A000235","Both sexes","All age groups","Persons with income under $5,000","Number","223","units","0","v20796014","16.1.1.2","887090","","","","0"
"2006","Ontario","2016A000235","Both sexes","All age groups","Persons with income under $5,000","Number","223","units","0","v20796014","16.1.1.2","906280","","","","0"
"2007","Ontario","2016A000235","Both sexes","All age groups","Persons with income under $5,000","Number","223","units","0","v20796014","16.1.1.2","830210","","","","0"
"2008","Ontario","2016A000235","Both sexes","All age groups","Persons with income under $5,000","Number","223","units","0","v20796014","16.1.1.2","845850","","","","0"
"2009","Ontario","2016A000235","Both sexes","All age groups","Persons with income under $5,000","Number","223","units","0","v20796014","16.1.1.2","888840","","","","0"
"2010","Ontario","2016A000235","Both sexes","All age groups","Persons with income under $5,000","Number","223","units","0","v20796014","16.1.1.2","891310","","","","0"
"2011","Ontario","2016A000235","Both sexes","All age groups","Persons with income under $5,000","Number","223","units","0","v20796014","16.1.1.2","872840","","","","0"
"2012","Ontario","2016A000235","Both sexes","All age groups","Persons with income under $5,000","Number","223","units","0","v20796014","16.1.1.2","799690","","","","0"
"2013","Ontario","2016A000235","Both sexes","All age groups","Persons with income under $5,000","Number","223","units","0","v20796014","16.1.1.2","805190","","","","0"
"2014","Ontario","2016A000235","Both sexes","All age groups","Persons with income under $5,000","Number","223","units","0","v20796014","16.1.1.2","855500","","","","0"
"2015","Ontario","2016A000235","Both sexes","All age groups","Persons with income under $5,000","Number","223","units","0","v20796014","16.1.1.2","764990","","","","0"
"2016","Ontario","2016A000235","Both sexes","All age groups","Persons with income under $5,000","Number","223","units","0","v20796014","16.1.1.2","736840","","","","0"
"2017","Ontario","2016A000235","Both sexes","All age groups","Persons with income under $5,000","Number","223","units","0","v20796014","16.1.1.2","704240","","","","0"
"2018","Ontario","2016A000235","Both sexes","All age groups","Persons with income under $5,000","Number","223","units","0","v20796014","16.1.1.2","716960","","","","0"
"2019","Ontario","2016A000235","Both sexes","All age groups","Persons with income under $5,000","Number","223","units","0","v20796014","16.1.1.2","700520","","","","0"
"2020","Ontario","2016A000235","Both sexes","All age groups","Persons with income under $5,000","Number","223","units","0","v20796014","16.1.1.2","470440","","","","0"
"2021","Ontario","2016A000235","Both sexes","All age groups","Persons with income under $5,000","Number","223","units","0","v20796014","16.1.1.2","561560","","","","0"
"2001","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $5,000 and over","Number","223","units","0","v20796015","16.1.1.3","7669230","","","","0"
"2002","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $5,000 and over","Number","223","units","0","v20796015","16.1.1.3","7706650","","","","0"
"2003","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $5,000 and over","Number","223","units","0","v20796015","16.1.1.3","7808040","","","","0"
"2004","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $5,000 and over","Number","223","units","0","v20796015","16.1.1.3","7968770","","","","0"
"2005","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $5,000 and over","Number","223","units","0","v20796015","16.1.1.3","8115580","","","","0"
"2006","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $5,000 and over","Number","223","units","0","v20796015","16.1.1.3","8244290","","","","0"
"2007","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $5,000 and over","Number","223","units","0","v20796015","16.1.1.3","8391880","","","","0"
"2008","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $5,000 and over","Number","223","units","0","v20796015","16.1.1.3","8517250","","","","0"
"2009","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $5,000 and over","Number","223","units","0","v20796015","16.1.1.3","8598980","","","","0"
"2010","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $5,000 and over","Number","223","units","0","v20796015","16.1.1.3","8736610","","","","0"
"2011","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $5,000 and over","Number","223","units","0","v20796015","16.1.1.3","8869030","","","","0"
"2012","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $5,000 and over","Number","223","units","0","v20796015","16.1.1.3","8943730","","","","0"
"2013","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $5,000 and over","Number","223","units","0","v20796015","16.1.1.3","9062090","","","","0"
"2014","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $5,000 and over","Number","223","units","0","v20796015","16.1.1.3","9228020","","","","0"
"2015","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $5,000 and over","Number","223","units","0","v20796015","16.1.1.3","9392290","","","","0"
"2016","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $5,000 and over","Number","223","units","0","v20796015","16.1.1.3","9562370","","","","0"
"2017","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $5,000 and over","Number","223","units","0","v20796015","16.1.1.3","9748820","","","","0"
"2018","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $5,000 and over","Number","223","units","0","v20796015","16.1.1.3","10028680","","","","0"
"2019","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $5,000 and over","Number","223","units","0","v20796015","16.1.1.3","10253510","","","","0"
"2020","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $5,000 and over","Number","223","units","0","v20796015","16.1.1.3","10598860","","","","0"
"2021","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $5,000 and over","Number","223","units","0","v20796015","16.1.1.3","10540120","","","","0"
"2001","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $10,000 and over","Number","223","units","0","v20796016","16.1.1.4","6741570","","","","0"
"2002","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $10,000 and over","Number","223","units","0","v20796016","16.1.1.4","6795700","","","","0"
"2003","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $10,000 and over","Number","223","units","0","v20796016","16.1.1.4","6900420","","","","0"
"2004","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $10,000 and over","Number","223","units","0","v20796016","16.1.1.4","7073310","","","","0"
"2005","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $10,000 and over","Number","223","units","0","v20796016","16.1.1.4","7236090","","","","0"
"2006","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $10,000 and over","Number","223","units","0","v20796016","16.1.1.4","7392820","","","","0"
"2007","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $10,000 and over","Number","223","units","0","v20796016","16.1.1.4","7576750","","","","0"
"2008","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $10,000 and over","Number","223","units","0","v20796016","16.1.1.4","7716880","","","","0"
"2009","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $10,000 and over","Number","223","units","0","v20796016","16.1.1.4","7799470","","","","0"
"2010","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $10,000 and over","Number","223","units","0","v20796016","16.1.1.4","7998820","","","","0"
"2011","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $10,000 and over","Number","223","units","0","v20796016","16.1.1.4","8155630","","","","0"
"2012","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $10,000 and over","Number","223","units","0","v20796016","16.1.1.4","8245590","","","","0"
"2013","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $10,000 and over","Number","223","units","0","v20796016","16.1.1.4","8375390","","","","0"
"2014","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $10,000 and over","Number","223","units","0","v20796016","16.1.1.4","8562450","","","","0"
"2015","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $10,000 and over","Number","223","units","0","v20796016","16.1.1.4","8748520","","","","0"
"2016","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $10,000 and over","Number","223","units","0","v20796016","16.1.1.4","8937130","","","","0"
"2017","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $10,000 and over","Number","223","units","0","v20796016","16.1.1.4","9148950","","","","0"
"2018","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $10,000 and over","Number","223","units","0","v20796016","16.1.1.4","9461440","","","","0"
"2019","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $10,000 and over","Number","223","units","0","v20796016","16.1.1.4","9666430","","","","0"
"2020","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $10,000 and over","Number","223","units","0","v20796016","16.1.1.4","10173850","","","","0"
"2021","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $10,000 and over","Number","223","units","0","v20796016","16.1.1.4","10101000","","","","0"
"2001","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $15,000 and over","Number","223","units","0","v20796017","16.1.1.5","5788650","","","","0"
"2002","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $15,000 and over","Number","223","units","0","v20796017","16.1.1.5","5843800","","","","0"
"2003","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $15,000 and over","Number","223","units","0","v20796017","16.1.1.5","5957560","","","","0"
"2004","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $15,000 and over","Number","223","units","0","v20796017","16.1.1.5","6131200","","","","0"
"2005","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $15,000 and over","Number","223","units","0","v20796017","16.1.1.5","6295730","","","","0"
"2006","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $15,000 and over","Number","223","units","0","v20796017","16.1.1.5","6501680","","","","0"
"2007","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $15,000 and over","Number","223","units","0","v20796017","16.1.1.5","6684280","","","","0"
"2008","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $15,000 and over","Number","223","units","0","v20796017","16.1.1.5","6836080","","","","0"
"2009","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $15,000 and over","Number","223","units","0","v20796017","16.1.1.5","6892570","","","","0"
"2010","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $15,000 and over","Number","223","units","0","v20796017","16.1.1.5","7050370","","","","0"
"2011","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $15,000 and over","Number","223","units","0","v20796017","16.1.1.5","7219670","","","","0"
"2012","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $15,000 and over","Number","223","units","0","v20796017","16.1.1.5","7322660","","","","0"
"2013","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $15,000 and over","Number","223","units","0","v20796017","16.1.1.5","7457070","","","","0"
"2014","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $15,000 and over","Number","223","units","0","v20796017","16.1.1.5","7655920","","","","0"
"2015","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $15,000 and over","Number","223","units","0","v20796017","16.1.1.5","7878190","","","","0"
"2016","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $15,000 and over","Number","223","units","0","v20796017","16.1.1.5","8088590","","","","0"
"2017","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $15,000 and over","Number","223","units","0","v20796017","16.1.1.5","8314570","","","","0"
"2018","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $15,000 and over","Number","223","units","0","v20796017","16.1.1.5","8655760","","","","0"
"2019","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $15,000 and over","Number","223","units","0","v20796017","16.1.1.5","8868150","","","","0"
"2020","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $15,000 and over","Number","223","units","0","v20796017","16.1.1.5","9579070","","","","0"
"2021","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $15,000 and over","Number","223","units","0","v20796017","16.1.1.5","9466530","","","","0"
"2001","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $20,000 and over","Number","223","units","0","v20796018","16.1.1.6","4966960","","","","0"
"2002","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $20,000 and over","Number","223","units","0","v20796018","16.1.1.6","5016340","","","","0"
"2003","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $20,000 and over","Number","223","units","0","v20796018","16.1.1.6","5120630","","","","0"
"2004","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $20,000 and over","Number","223","units","0","v20796018","16.1.1.6","5283170","","","","0"
"2005","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $20,000 and over","Number","223","units","0","v20796018","16.1.1.6","5442570","","","","0"
"2006","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $20,000 and over","Number","223","units","0","v20796018","16.1.1.6","5619110","","","","0"
"2007","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $20,000 and over","Number","223","units","0","v20796018","16.1.1.6","5814630","","","","0"
"2008","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $20,000 and over","Number","223","units","0","v20796018","16.1.1.6","5965030","","","","0"
"2009","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $20,000 and over","Number","223","units","0","v20796018","16.1.1.6","6010420","","","","0"
"2010","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $20,000 and over","Number","223","units","0","v20796018","16.1.1.6","6127700","","","","0"
"2011","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $20,000 and over","Number","223","units","0","v20796018","16.1.1.6","6301960","","","","0"
"2012","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $20,000 and over","Number","223","units","0","v20796018","16.1.1.6","6416620","","","","0"
"2013","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $20,000 and over","Number","223","units","0","v20796018","16.1.1.6","6545820","","","","0"
"2014","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $20,000 and over","Number","223","units","0","v20796018","16.1.1.6","6745310","","","","0"
"2015","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $20,000 and over","Number","223","units","0","v20796018","16.1.1.6","6974390","","","","0"
"2016","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $20,000 and over","Number","223","units","0","v20796018","16.1.1.6","7198340","","","","0"
"2017","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $20,000 and over","Number","223","units","0","v20796018","16.1.1.6","7458420","","","","0"
"2018","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $20,000 and over","Number","223","units","0","v20796018","16.1.1.6","7796000","","","","0"
"2019","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $20,000 and over","Number","223","units","0","v20796018","16.1.1.6","8033200","","","","0"
"2020","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $20,000 and over","Number","223","units","0","v20796018","16.1.1.6","8802940","","","","0"
"2021","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $20,000 and over","Number","223","units","0","v20796018","16.1.1.6","8715340","","","","0"
"2001","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $25,000 and over","Number","223","units","0","v20796019","16.1.1.7","4289510","","","","0"
"2002","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $25,000 and over","Number","223","units","0","v20796019","16.1.1.7","4347180","","","","0"
"2003","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $25,000 and over","Number","223","units","0","v20796019","16.1.1.7","4457100","","","","0"
"2004","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $25,000 and over","Number","223","units","0","v20796019","16.1.1.7","4612370","","","","0"
"2005","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $25,000 and over","Number","223","units","0","v20796019","16.1.1.7","4761990","","","","0"
"2006","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $25,000 and over","Number","223","units","0","v20796019","16.1.1.7","4927620","","","","0"
"2007","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $25,000 and over","Number","223","units","0","v20796019","16.1.1.7","5110150","","","","0"
"2008","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $25,000 and over","Number","223","units","0","v20796019","16.1.1.7","5251330","","","","0"
"2009","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $25,000 and over","Number","223","units","0","v20796019","16.1.1.7","5273620","","","","0"
"2010","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $25,000 and over","Number","223","units","0","v20796019","16.1.1.7","5375000","","","","0"
"2011","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $25,000 and over","Number","223","units","0","v20796019","16.1.1.7","5530610","","","","0"
"2012","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $25,000 and over","Number","223","units","0","v20796019","16.1.1.7","5645750","","","","0"
"2013","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $25,000 and over","Number","223","units","0","v20796019","16.1.1.7","5772340","","","","0"
"2014","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $25,000 and over","Number","223","units","0","v20796019","16.1.1.7","5959770","","","","0"
"2015","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $25,000 and over","Number","223","units","0","v20796019","16.1.1.7","6184900","","","","0"
"2016","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $25,000 and over","Number","223","units","0","v20796019","16.1.1.7","6353470","","","","0"
"2017","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $25,000 and over","Number","223","units","0","v20796019","16.1.1.7","6581730","","","","0"
"2018","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $25,000 and over","Number","223","units","0","v20796019","16.1.1.7","6921450","","","","0"
"2019","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $25,000 and over","Number","223","units","0","v20796019","16.1.1.7","7120720","","","","0"
"2020","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $25,000 and over","Number","223","units","0","v20796019","16.1.1.7","7823130","","","","0"
"2021","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $25,000 and over","Number","223","units","0","v20796019","16.1.1.7","7790610","","","","0"
"2001","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $35,000 and over","Number","223","units","0","v20796020","16.1.1.8","3034330","","","","0"
"2002","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $35,000 and over","Number","223","units","0","v20796020","16.1.1.8","3115910","","","","0"
"2003","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $35,000 and over","Number","223","units","0","v20796020","16.1.1.8","3248640","","","","0"
"2004","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $35,000 and over","Number","223","units","0","v20796020","16.1.1.8","3410650","","","","0"
"2005","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $35,000 and over","Number","223","units","0","v20796020","16.1.1.8","3566050","","","","0"
"2006","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $35,000 and over","Number","223","units","0","v20796020","16.1.1.8","3737310","","","","0"
"2007","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $35,000 and over","Number","223","units","0","v20796020","16.1.1.8","3919210","","","","0"
"2008","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $35,000 and over","Number","223","units","0","v20796020","16.1.1.8","4068870","","","","0"
"2009","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $35,000 and over","Number","223","units","0","v20796020","16.1.1.8","4076910","","","","0"
"2010","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $35,000 and over","Number","223","units","0","v20796020","16.1.1.8","4185550","","","","0"
"2011","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $35,000 and over","Number","223","units","0","v20796020","16.1.1.8","4334550","","","","0"
"2012","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $35,000 and over","Number","223","units","0","v20796020","16.1.1.8","4460560","","","","0"
"2013","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $35,000 and over","Number","223","units","0","v20796020","16.1.1.8","4582210","","","","0"
"2014","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $35,000 and over","Number","223","units","0","v20796020","16.1.1.8","4749620","","","","0"
"2015","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $35,000 and over","Number","223","units","0","v20796020","16.1.1.8","4948440","","","","0"
"2016","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $35,000 and over","Number","223","units","0","v20796020","16.1.1.8","5102040","","","","0"
"2017","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $35,000 and over","Number","223","units","0","v20796020","16.1.1.8","5323250","","","","0"
"2018","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $35,000 and over","Number","223","units","0","v20796020","16.1.1.8","5619630","","","","0"
"2019","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $35,000 and over","Number","223","units","0","v20796020","16.1.1.8","5812150","","","","0"
"2020","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $35,000 and over","Number","223","units","0","v20796020","16.1.1.8","6272690","","","","0"
"2021","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $35,000 and over","Number","223","units","0","v20796020","16.1.1.8","6370040","","","","0"
"2001","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $50,000 and over","Number","223","units","0","v20796021","16.1.1.9","1708330","","","","0"
"2002","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $50,000 and over","Number","223","units","0","v20796021","16.1.1.9","1789350","","","","0"
"2003","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $50,000 and over","Number","223","units","0","v20796021","16.1.1.9","1900190","","","","0"
"2004","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $50,000 and over","Number","223","units","0","v20796021","16.1.1.9","2030760","","","","0"
"2005","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $50,000 and over","Number","223","units","0","v20796021","16.1.1.9","2161240","","","","0"
"2006","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $50,000 and over","Number","223","units","0","v20796021","16.1.1.9","2306600","","","","0"
"2007","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $50,000 and over","Number","223","units","0","v20796021","16.1.1.9","2463610","","","","0"
"2008","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $50,000 and over","Number","223","units","0","v20796021","16.1.1.9","2599940","","","","0"
"2009","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $50,000 and over","Number","223","units","0","v20796021","16.1.1.9","2604040","","","","0"
"2010","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $50,000 and over","Number","223","units","0","v20796021","16.1.1.9","2714250","","","","0"
"2011","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $50,000 and over","Number","223","units","0","v20796021","16.1.1.9","2852030","","","","0"
"2012","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $50,000 and over","Number","223","units","0","v20796021","16.1.1.9","2972470","","","","0"
"2013","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $50,000 and over","Number","223","units","0","v20796021","16.1.1.9","3087320","","","","0"
"2014","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $50,000 and over","Number","223","units","0","v20796021","16.1.1.9","3230610","","","","0"
"2015","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $50,000 and over","Number","223","units","0","v20796021","16.1.1.9","3394390","","","","0"
"2016","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $50,000 and over","Number","223","units","0","v20796021","16.1.1.9","3514920","","","","0"
"2017","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $50,000 and over","Number","223","units","0","v20796021","16.1.1.9","3717920","","","","0"
"2018","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $50,000 and over","Number","223","units","0","v20796021","16.1.1.9","3943820","","","","0"
"2019","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $50,000 and over","Number","223","units","0","v20796021","16.1.1.9","4130110","","","","0"
"2020","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $50,000 and over","Number","223","units","0","v20796021","16.1.1.9","4449410","","","","0"
"2021","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $50,000 and over","Number","223","units","0","v20796021","16.1.1.9","4624150","","","","0"
"2001","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $75,000 and over","Number","223","units","0","v20796022","16.1.1.10","635650","","","","0"
"2002","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $75,000 and over","Number","223","units","0","v20796022","16.1.1.10","685090","","","","0"
"2003","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $75,000 and over","Number","223","units","0","v20796022","16.1.1.10","752840","","","","0"
"2004","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $75,000 and over","Number","223","units","0","v20796022","16.1.1.10","838370","","","","0"
"2005","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $75,000 and over","Number","223","units","0","v20796022","16.1.1.10","929980","","","","0"
"2006","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $75,000 and over","Number","223","units","0","v20796022","16.1.1.10","1021470","","","","0"
